Title,Author(s),Description,Publisher,Link,Rating,Keywords,ISBN,Publication Year,Pages,Language,Format,Context
"A Guide to Successful Dissertation Study for Students of the Built Environment","Gary D. Holt","This comprehensive guide is designed to support built environment students in completing dissertation studies, offering practical advice for fields like construction and urban planning. It covers the entire research process, from planning and data collection to writing and presentation. Holt provides strategies for formulating research questions, selecting methodologies, and analyzing data relevant to the built environment. The book includes real-world examples, such as case studies on infrastructure projects, to illustrate best practices. It addresses common challenges, like accessing industry-specific data or managing time constraints, with practical solutions. The text also emphasizes ethical research practices, ensuring students maintain academic integrity. With its clear structure and actionable advice, it is ideal for undergraduate and graduate students. The book includes templates and timelines to help students stay organized throughout their dissertation journey. It also offers tips for presenting findings to academic and industry audiences. This guide is a valuable resource for students seeking to produce high-quality, industry-relevant dissertations.","Built Environment Research Unit, University of Wolverhampton","https://elibrary.nu.edu.om/cgi-bin/koha/opac-detail.pl?biblionumber=21178",4.3,"dissertation, built environment, research planning, data collection, academic writing",978-0953944101,2000,182,English,Paperback,"Aimed at built environment students (e.g., construction, urban planning) tackling undergraduate or graduate dissertation projects."
"A Manual for Writers of Research Papers, Theses, and Dissertations: Chicago Style for Students and Researchers","Kate L. Turabian","This definitive guide is the go-to resource for writing research papers, theses, and dissertations using the Chicago style, widely used in humanities and social sciences. It provides clear instructions on formatting, citation, and structuring academic documents to meet rigorous academic standards. Turabian covers every stage of the writing process, from developing arguments to polishing final drafts. The book includes detailed examples of Chicago-style citations, ensuring accurate referencing for books, articles, and digital sources. It also addresses ethical issues like plagiarism and proper attribution, helping researchers maintain integrity. With its comprehensive approach, the text is suitable for both students and seasoned researchers. It offers practical tips for organizing research notes and drafting clear, compelling arguments. The book’s structured layout and accessible language make it easy to navigate, even for beginners. It includes sample pages and templates to guide formatting decisions. This manual is essential for anyone aiming to produce polished, professional academic writing.","University of Chicago Press","https://elibrary.nu.edu.om/cgi-bin/koha/opac-detail.pl?biblionumber=29193",4.9,"Chicago style, research papers, theses, dissertations, citation, academic writing",978-0226430577,2018,464,English,Paperback,"Essential for students and researchers across humanities and social sciences using Chicago style for academic writing."
"A Manual for Writers of Term Papers, Theses, and Dissertations","Kate L. Turabian","This classic reference guide provides detailed instructions for writing term papers, theses, and dissertations, with a focus on Chicago-style formatting and citation. It covers essential elements like structuring arguments, organizing research, and adhering to academic standards. The book includes examples of proper citation for various sources, from books to online materials, ensuring accurate referencing. Turabian also offers guidance on avoiding plagiarism and maintaining ethical writing practices. The text is designed to be accessible, making it ideal for students new to academic writing. It includes sample outlines and formatting templates to streamline the writing process. With its emphasis on clarity and precision, the book is particularly suited for humanities and social science students. It also addresses common challenges, like managing complex sources or revising drafts effectively. The straightforward style and comprehensive coverage make it a timeless resource. This manual is a must-have for students aiming to produce high-quality academic work.","University of Chicago Press","https://elibrary.nu.edu.om/cgi-bin/koha/opac-detail.pl?biblionumber=29193",4.8,"term papers, theses, dissertations, Chicago style, formatting, academic writing",978-0226816272,1996,308,English,Paperback,"Suited for students and researchers in humanities and social sciences needing guidance on Chicago-style academic writing."
"The Craft of Research","Wayne C. Booth, Gregory G. Colomb, Joseph M. Williams, Joseph Bizup, William T. FitzGerald","This foundational text guides researchers through the entire research process, from formulating compelling questions to presenting persuasive arguments. It emphasizes clear thinking, effective writing, and ethical considerations, making it essential for students across disciplines. The book covers how to identify significant research problems, gather relevant evidence, and construct coherent arguments. It includes practical exercises to help readers develop critical thinking and writing skills. The authors provide strategies for overcoming common challenges, like narrowing a topic or addressing counterarguments effectively. With its focus on scholarly communication, the book is ideal for undergraduate and graduate students in humanities and social sciences. It also addresses the importance of audience awareness and tailoring arguments to specific contexts. The text includes real-world examples to illustrate key concepts, ensuring accessibility. It offers tips for revising drafts and ensuring clarity in academic writing. This guide is a vital resource for anyone seeking to craft compelling, well-supported research.","University of Chicago Press","https://www.press.uchicago.edu/ucp/books/book/chicago/C/bo3634212.html",4.8,"research craft, academic writing, argument building, research process, ethics, scholarly communication",978-0226065663,2016,336,English,Paperback,"Aimed at undergraduate and graduate students in humanities and social sciences building foundational research and writing skills."
"Evaluating Research: Methodology for People Who Need to Read Research","Francis C. Dane, Elliot Carhart","This book equips readers with the skills to critically evaluate research studies without conducting their own, making it ideal for students and professionals in social, behavioral, and health sciences. It covers the structure of research reports, key methodologies like experiments and surveys, and common evaluation criteria. The authors provide practical tools for assessing study validity, reliability, and relevance, with real-world examples to illustrate concepts. The book addresses how to identify biases, interpret statistical findings, and evaluate ethical considerations in published research. It also explores strategies for accessing credible research sources, including databases and journals. With its clear explanations, the text is accessible to those new to research evaluation. It includes checklists and frameworks to guide critical reading and analysis. The book is particularly suited for students in psychology, public health, or policy studies who consume research regularly. It also covers emerging trends, like evaluating online or interdisciplinary studies. This resource is essential for informed decision-making based on research evidence.","SAGE Publications","https://us.sagepub.com/en-us/nam/evaluating-research/book273053",4.6,"research evaluation, critical reading, methodology overview, social sciences, behavioral research, health sciences",978-1544333649,2023,384,English,Paperback,"Targeted at students in courses focused on understanding rather than performing research, such as in psychology or public health."
"Statistics with R: A Beginner’s Guide","Robert N. Stinerock","This hands-on guide introduces statistical methods using R, a powerful open-source tool, making it ideal for beginners in quantitative research across STEM fields. It covers data analysis, visualization, and statistical inference with step-by-step explanations and real-world examples. The book includes practical exercises to help readers apply concepts like hypothesis testing, regression, and data modeling. Stinerock emphasizes building a strong foundation in statistical thinking, ensuring accessibility for those with minimal prior knowledge. The text also explores data visualization techniques, such as creating graphs and charts in R, to enhance research communication. It includes online resources and sample datasets to support hands-on learning. The book addresses common challenges, like debugging code or interpreting statistical output, with clear solutions. It is particularly suited for undergraduate students and early researchers in sciences or engineering. The conversational style and practical focus make complex statistical concepts approachable. This guide is a valuable resource for mastering practical statistics with open-source tools.","SAGE Publications","https://us.sagepub.com/en-us/nam/statistics-with-r/book272492",4.5,"statistics, R programming, data analysis, quantitative methods, beginner guide, visualization",978-1071807218,2023,472,English,Paperback,"Suited for undergraduate students and early researchers in STEM fields learning practical statistics with open-source tools."
"The SAGE Handbook of Qualitative Research","Norman K. Denzin, Yvonna S. Lincoln","This comprehensive handbook is a definitive resource for advanced qualitative research, featuring contributions from leading scholars in the field. It explores theoretical frameworks, social justice considerations, and innovative methods for data collection and analysis. The book covers a wide range of qualitative approaches, including ethnography, narrative inquiry, and grounded theory, with practical guidance for implementation. It addresses ethical issues, such as participant rights and researcher reflexivity, ensuring responsible research practices. The text includes case studies and examples from diverse disciplines, making it relevant for social science researchers. It also explores emerging trends, like digital qualitative methods and participatory research. With its in-depth content, the handbook is ideal for graduate students and seasoned researchers pursuing complex studies. It provides tools for navigating interdisciplinary and global research contexts. The book’s authoritative tone and extensive coverage make it a cornerstone for qualitative inquiry. This resource is essential for those seeking to advance their expertise in qualitative methodologies.","SAGE Publications","https://us.sagepub.com/en-us/nam/the-sage-handbook-of-qualitative-research/book270738",4.9,"qualitative research, handbook, social justice, theoretical frameworks, data analysis, ethics",978-1071839813,2023,1170,English,Hardcover,"Essential for graduate students and researchers in social sciences pursuing in-depth qualitative studies."
"Doing Your Research Project","Judith Bell, Stephen Waters","This step-by-step guide is designed for first-time researchers, offering practical advice on planning, conducting, and presenting research projects. It covers essential steps like formulating research questions, conducting literature reviews, and collecting data ethically. The book provides clear guidance on both qualitative and quantitative methods, ensuring a balanced approach. Bell and Waters include tips for managing time, avoiding common pitfalls, and writing up findings effectively. The text emphasizes ethical considerations, such as informed consent and data protection, to ensure research integrity. It includes real-world examples and checklists to support students throughout their projects. The book is particularly suited for undergraduate and master’s students across disciplines like education and social sciences. It also offers strategies for presenting research to academic audiences, enhancing communication skills. With its supportive tone and accessible style, the guide is ideal for building confidence in novice researchers. This resource is a practical companion for completing theses or independent research projects successfully.","Open University Press","https://shop.mcgraw-hill.co.uk/highered/product/doing-your-research-project-bell-waters/M9780335264469",4.7,"research project, first-time researchers, planning, data collection, ethics, thesis writing",978-0335264469,2018,336,English,Paperback,"Designed for undergraduate and master's students across disciplines undertaking independent research projects."
"Introducing Research Methodology: Thinking Your Way Through Your Research Project","Uwe Flick","This beginner’s guide introduces both quantitative and qualitative research methods, offering a clear and engaging entry point for social science novices. It covers the entire research process, from designing studies to analyzing data, with practical examples and exercises to reinforce learning. Flick emphasizes critical thinking, helping readers make informed choices about methodology and research design. The book addresses key elements like sampling, data collection, and ethical considerations, ensuring a holistic approach. It includes case studies from real-world research to illustrate how methods are applied in practice. The text also explores the philosophical underpinnings of research, making complex ideas accessible to beginners. With its focus on clarity and applicability, the book is ideal for undergraduate students in social sciences or related fields. It provides tools for writing research proposals and interpreting results effectively. The conversational style and structured layout make it easy to follow. This guide is essential for students developing critical thinking skills in research design.","SAGE Publications","https://us.sagepub.com/en-us/nam/introducing-research-methodology/book232186",4.4,"research methodology, beginners, quantitative qualitative, research design, sampling, analysis",978-1526416947,2020,320,English,Paperback,"Aimed at undergraduate students in social sciences developing critical thinking in research design."
"Single Case Research Methodology","Jennifer R. Ledford, David L. Gast","This specialized book focuses on single-case research designs, offering detailed guidance for experimental research in applied behavior analysis. It covers design types, measurement techniques, and data analysis methods, with a focus on rigor and precision. The authors provide step-by-step instructions for implementing single-case studies, including baseline and intervention phases. The book addresses ethical considerations, such as participant welfare and data accuracy, ensuring responsible research practices. It includes real-world examples from special education and behavioral sciences to illustrate applications. The text also explores visual analysis and statistical techniques for interpreting single-case data. With its practical focus, the book is ideal for researchers and practitioners in education and psychology. It offers templates and tools for designing and evaluating studies effectively. The updated edition reflects recent advancements in single-case methodology. This resource is essential for those using single-subject designs in applied research settings.","Routledge","https://www.routledge.com/Single-Case-Research-Methodology-Applied-Clinical-and-Translational-Research/Ledford-Gast/p/book/9781032314707",4.6,"single case research, experimental design, behavior analysis, special education, ethics, measurement",978-1032314707,2024,374,English,Paperback,"Targeted at researchers and practitioners in education and psychology using single-subject designs."
"Research Methodology: A Step-by-Step Guide for Beginners","Ranjit Kumar","This accessible guide provides a comprehensive overview of the research process, tailored for international undergraduate students new to research. It covers problem identification, research design, data collection, and reporting, with a balanced focus on qualitative and quantitative methods. Kumar includes global examples to illustrate concepts, making the book relevant across cultural and academic contexts. The text offers step-by-step guidance on formulating research questions, selecting methodologies, and analyzing data effectively. It also addresses ethical considerations, such as informed consent and data integrity, ensuring responsible research practices. The book includes exercises and case studies to reinforce learning and practical application. With its clear language and structured approach, it is ideal for beginners in any field. It provides tips for writing research reports and presenting findings clearly. The book also explores common challenges, like managing scope or avoiding bias, with practical solutions. This guide is a valuable resource for building foundational research skills.","SAGE Publications","https://us.sagepub.com/en-us/nam/research-methodology/book232168",4.5,"research methodology, step-by-step, beginners, qualitative quantitative, problem solving, reporting",978-1526492107,2019,536,English,Paperback,"Suited for international undergraduate students building basic research skills."
"Decolonizing Methodologies: Research and Indigenous Peoples","Linda Tuhiwai Smith","This seminal work critiques Western research paradigms and advocates for indigenous methodologies, offering a transformative perspective for culturally sensitive research. It explores the historical impact of colonial research practices on indigenous communities and proposes alternative approaches rooted in respect and collaboration. Smith emphasizes ethical considerations, such as community consent and participatory methods, to ensure research benefits indigenous peoples. The book includes case studies and examples of indigenous-led research, illustrating practical applications. It addresses challenges like navigating power dynamics and ensuring cultural relevance in research design. The text is ideal for researchers working with indigenous communities or in postcolonial studies. It provides frameworks for decolonizing research questions, methods, and dissemination. With its focus on social justice, the book is a critical resource for rethinking research practices. The updated edition reflects contemporary debates in indigenous scholarship. This guide is essential for fostering ethical, inclusive research in diverse cultural contexts.","Zed Books","https://www.bloomsbury.com/us/decolonizing-methodologies-9781786998132/",4.8,"decolonizing research, indigenous methodologies, ethics, participatory research, cultural sensitivity",978-1786998132,2021,352,English,Paperback,"Essential for researchers working with indigenous communities or in postcolonial studies."
"Research Questions, Hypotheses and Objectives","Piotr K. Janiszewski","This concise guide focuses on formulating research questions, hypotheses, and objectives in medical research, offering practical advice for health science students and clinicians. It covers the types of research questions, methods for testing hypotheses, and aligning objectives with study design. The book provides clear examples from clinical research to illustrate how to craft precise and testable questions. Janiszewski addresses common challenges, like ensuring specificity or avoiding ambiguity, with actionable solutions. The text also explores the role of hypotheses in driving rigorous study design and analysis. It includes tips for integrating questions and objectives into research proposals effectively. With its focused scope, the book is ideal for those designing clinical or health-related studies. It emphasizes the importance of clarity and alignment in research planning. The straightforward style makes it accessible for medical students and early-career researchers. This resource is essential for building a strong foundation in medical research design.","Wiley-Blackwell","https://www.wiley.com/en-us/Research+Questions%2C+Hypotheses+and+Objectives-p-9780470472990",4.3,"research questions, hypotheses, objectives, medical research, study design, health sciences",978-0470472990,2010,148,English,Paperback,"Aimed at medical students and clinicians designing clinical studies."
"Survey Methodology","Robert M. Groves, Floyd J. Fowler Jr., Mick P. Couper, James M. Lepkowski, Eleanor Singer, Roger Tourangeau","This authoritative text provides a comprehensive overview of survey methodology, covering design, sampling, data collection, and analysis for social and market research. It addresses key challenges like nonresponse, survey errors, and designing effective questionnaires. The book includes practical guidance on modern survey methods, such as online and mobile surveys, reflecting current trends. The authors explore statistical techniques for analyzing survey data and ensuring reliability. With real-world examples, the text illustrates how to apply survey methods in diverse contexts, from sociology to marketing. It also covers ethical considerations, like ensuring respondent privacy and informed consent. The book’s rigorous yet accessible approach makes it ideal for graduate students and professionals. It includes tools for evaluating survey quality and minimizing bias. The updated edition addresses technological advancements in survey research. This resource is essential for researchers seeking to conduct high-quality, reliable surveys.","Wiley","https://www.wiley.com/en-us/Survey+Methodology%2C+3rd+Edition-p-9780470465462",4.7,"survey methodology, sampling, data collection, nonresponse, online surveys, error analysis",978-0470465462,2011,560,English,Hardcover,"Targeted at graduate students and professionals in sociology, statistics, and market research."
"Action Research","Ernest T. Stringer","This practical introduction to action research is designed for practitioners, emphasizing collaborative inquiry and change in fields like education and community development. It covers the cyclical process of planning, acting, observing, and reflecting, with clear guidance for implementation. Stringer provides real-world examples of action research projects, illustrating how to address community or organizational challenges effectively. The book emphasizes participatory methods, ensuring stakeholders are actively involved in the research process. It also addresses ethical considerations, such as inclusivity and respect for participants’ perspectives. The text includes practical tools, like templates for project planning and data collection, to support practitioners. With its accessible style, the book is ideal for educators, social workers, and community leaders. It offers strategies for disseminating findings to drive meaningful change. The book’s focus on practical application makes it highly relevant for real-world settings. This guide is essential for those seeking to implement participatory, action-oriented research projects.","Pearson","https://www.pearson.com/us/higher-education/program/Stringer-Action-Research-5th-Edition/PGM334968.html",4.5,"action research, collaborative inquiry, practitioner research, reflection, education, community development",978-0133389153,2013,304,English,Paperback,"Suited for educators and community workers implementing participatory action projects."
"Qualitative Data Analysis from Start to Finish","Jamie Harding","This step-by-step guide provides comprehensive guidance on qualitative data analysis, from transcription and coding to interpretation and presentation. It covers key techniques like thematic analysis, grounded theory, and narrative analysis, with practical examples to illustrate each step. Harding includes tips for using qualitative software tools, such as NVivo, to streamline data management and analysis. The book addresses common challenges, like ensuring reliability in coding or managing large datasets, with clear solutions. It also explores ethical considerations, such as protecting participant confidentiality and avoiding researcher bias. With its hands-on approach, the text is ideal for graduate students in social sciences learning qualitative methods. It includes exercises and case studies to reinforce practical skills. The book’s accessible style makes complex analytical processes easy to understand. It also offers guidance on presenting findings effectively to academic and professional audiences. This resource is essential for researchers seeking to master qualitative data analysis.","SAGE Publications","https://us.sagepub.com/en-us/nam/qualitative-data-analysis-from-start-to-finish/book232170",4.6,"qualitative analysis, coding, transcription, interpretation, software tools, social sciences",978-0857021403,2013,336,English,Paperback,"Designed for graduate students in social sciences learning hands-on qualitative analysis."
"The Coding Manual for Qualitative Researchers","Johnny Saldaña","This comprehensive resource provides an in-depth guide to coding qualitative data, offering a range of techniques for thematic analysis and interpretation. It covers first and second cycle coding, with clear explanations and examples to illustrate each method. Saldaña includes guidance on using qualitative software, such as ATLAS.ti, to enhance coding efficiency and accuracy. The book addresses challenges like ensuring coding consistency and managing complex datasets, offering practical solutions. It also explores how to develop themes and patterns from coded data, ensuring robust analysis. With its focus on practical application, the text is ideal for researchers in education, sociology, and health sciences. It includes exercises and case studies to support hands-on learning. The book’s clear structure and engaging style make it accessible to both novice and experienced researchers. It also provides tips for writing up qualitative findings for academic publication. This manual is essential for those seeking to master qualitative coding and thematic analysis.","SAGE Publications","https://us.sagepub.com/en-us/nam/the-coding-manual-for-qualitative-researchers/book232174",4.8,"qualitative coding, thematic analysis, data analysis, research software, coding techniques",978-1526424995,2015,368,English,Paperback,"Targeted at researchers in education, sociology, and health using qualitative methods."
